id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
0,p,,x,s,n,t,f,c,k,,,e,s,w,p,w,t,p,k,u,
1,e,,x,s,y,t,f,c,k,,,c,s,w,p,w,t,p,n,g,
2,e,,b,s,w,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
3,p,,x,y,w,t,f,c,n,,,e,s,w,p,w,t,p,k,u,
4,e,,x,s,g,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
5,e,,x,y,y,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
6,e,,b,s,w,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
7,e,,b,y,w,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
8,p,,x,y,w,t,f,c,p,,,e,s,w,p,w,t,p,k,g,
9,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
10,e,,x,y,y,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
11,e,,x,y,y,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
12,e,,b,s,y,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
13,p,,x,y,w,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
14,e,,x,f,n,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
15,e,,s,f,g,f,f,c,k,,,e,s,w,p,w,t,p,n,u,
16,e,,f,f,w,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
17,p,,x,s,n,t,f,c,n,,,e,s,w,p,w,t,p,k,g,
18,p,,x,y,w,t,f,c,n,,,e,s,w,p,w,t,p,n,u,
19,p,,x,s,n,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
20,e,,b,s,y,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
21,p,,x,y,n,t,f,c,n,,,e,s,w,p,w,t,p,n,g,
22,e,,b,y,y,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
23,e,,b,y,w,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
24,e,,b,s,w,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
25,p,,f,s,w,t,f,c,n,,,e,s,w,p,w,t,p,n,g,
26,e,,x,y,y,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
27,e,,x,y,w,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
28,e,,f,f,n,f,f,c,k,,,e,s,w,p,w,t,p,k,u,
29,e,,x,s,y,t,f,w,n,,,b,s,w,p,w,t,p,n,d,
30,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
31,p,,x,y,w,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
32,e,,x,y,y,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
33,e,,x,y,n,t,f,c,p,,,r,s,w,p,w,t,p,n,p,
34,e,,b,y,y,t,f,c,n,,,c,s,w,p,w,t,p,n,m,
35,e,,x,f,y,t,f,w,w,,,b,s,w,p,w,t,p,n,d,
36,e,,s,f,g,f,f,c,k,,,e,s,w,p,w,t,p,k,u,
37,p,,x,y,n,t,f,c,w,,,e,s,w,p,w,t,p,n,u,
38,e,,x,f,y,t,f,w,p,,,b,s,w,p,w,t,p,n,d,
39,e,,b,s,y,t,f,c,k,,,c,s,w,p,w,t,p,k,m,
40,e,,b,y,y,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
41,e,,x,y,y,t,f,c,n,,,r,s,w,p,w,t,p,k,p,
42,e,,x,f,n,f,f,c,g,,,e,s,w,p,w,t,p,k,u,
43,p,,x,y,w,t,f,c,p,,,e,s,w,p,w,t,p,n,g,
44,e,,x,s,y,t,f,c,w,,,c,s,w,p,w,t,p,k,m,
45,e,,x,y,w,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
46,e,,x,y,y,t,f,c,k,,,c,s,w,p,w,t,p,k,m,
47,e,,x,s,w,t,f,c,w,,,c,s,w,p,w,t,p,n,m,
48,e,,x,y,y,t,f,c,n,,,r,s,w,p,w,t,p,n,p,
49,e,,f,y,y,t,f,c,w,,,r,s,w,p,w,t,p,k,p,
50,e,,x,y,n,t,f,c,w,,,r,s,w,p,w,t,p,k,g,
51,e,,x,s,w,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
52,e,,b,s,w,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
53,p,,x,y,n,t,f,c,k,,,e,s,w,p,w,t,p,n,u,
54,p,,x,s,w,t,f,c,k,,,e,s,w,p,w,t,p,k,u,
55,e,,b,y,y,t,f,c,w,,,c,s,w,p,w,t,p,k,m,
56,e,,f,f,g,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
57,e,,b,s,w,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
58,e,,x,s,y,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
59,e,,x,y,n,t,f,c,p,,,r,s,w,p,w,t,p,k,p,
60,e,,s,f,g,f,f,c,k,,,e,s,w,p,w,t,p,n,u,
61,e,,b,y,y,t,f,c,k,,,c,s,w,p,w,t,p,n,m,
62,e,,b,s,y,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
63,e,,b,y,y,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
64,e,,b,y,w,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
65,e,,f,s,n,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
66,e,,x,s,w,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
67,e,,f,y,y,t,f,c,w,,,r,s,w,p,w,t,p,n,g,
68,e,,x,y,y,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
69,e,,x,f,g,f,f,c,p,,,e,s,w,p,w,t,p,n,u,
70,e,,f,f,y,t,f,w,p,,,b,s,w,p,w,t,p,n,d,
71,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
72,e,,f,f,y,t,f,w,w,,,b,s,w,p,w,t,p,n,d,
73,e,,x,y,n,t,f,c,p,,,r,s,w,p,w,t,p,k,p,
74,e,,b,s,y,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
75,e,,f,s,y,t,f,w,p,,,b,s,w,p,w,t,p,n,d,
76,e,,x,s,w,t,f,w,n,,,b,s,w,p,w,t,p,u,d,
77,e,,f,y,n,t,f,c,p,,,r,s,w,p,w,t,p,n,p,
78,p,,x,y,n,t,f,c,w,,,e,s,w,p,w,t,p,n,u,
79,e,,f,y,n,t,f,c,n,,,r,s,w,p,w,t,p,n,g,
80,e,,x,s,n,f,f,w,k,,,e,f,w,p,w,t,e,n,g,
81,p,,x,y,w,t,f,c,w,,,e,s,w,p,w,t,p,k,g,
82,e,,f,f,g,f,f,c,n,,,e,s,w,p,w,t,p,n,u,
83,e,,x,f,g,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
84,e,,x,y,y,t,f,c,w,,,r,s,w,p,w,t,p,k,g,
85,e,,x,s,n,f,f,w,k,,,e,s,w,p,w,t,e,k,g,
86,e,,b,s,w,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
87,e,,x,s,w,t,f,c,n,,,c,s,w,p,w,t,p,n,g,
88,e,,f,y,n,t,f,c,w,,,r,s,w,p,w,t,p,k,g,
89,e,,s,f,n,f,f,c,n,,,e,s,w,p,w,t,p,n,u,
90,e,,x,f,n,f,f,c,n,,,e,s,w,p,w,t,p,n,u,
91,e,,b,s,w,t,f,c,k,,,c,s,w,p,w,t,p,k,g,
92,e,,x,y,y,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
93,e,,x,y,y,t,f,c,g,,,c,s,w,p,w,t,p,k,m,
94,e,,x,s,n,f,f,w,n,,,e,s,w,p,w,t,e,n,g,
95,e,,x,s,w,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
96,e,,f,y,n,t,f,c,p,,,r,s,w,p,w,t,p,n,g,
97,e,,x,s,y,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
98,e,,b,s,w,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
99,e,,x,y,w,t,f,c,g,,,c,s,w,p,w,t,p,k,g,
100,e,,x,f,n,f,f,w,p,,,e,f,w,p,w,t,e,k,g,
101,e,,b,s,y,t,f,c,n,,,c,s,w,p,w,t,p,k,g,
102,e,,f,y,y,t,f,c,w,,,r,s,w,p,w,t,p,n,g,
103,e,,x,y,y,t,f,c,n,,,r,s,w,p,w,t,p,k,p,
104,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,n,g,
105,e,,x,y,y,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
106,e,,x,y,y,t,f,c,w,,,r,s,w,p,w,t,p,n,g,
107,e,,b,y,w,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
108,e,,b,y,w,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
109,e,,x,s,y,t,f,c,k,,,c,s,w,p,w,t,p,k,m,
110,e,,x,s,y,t,f,c,w,,,c,s,w,p,w,t,p,k,g,
111,e,,s,f,g,f,f,c,g,,,e,s,w,p,w,t,p,k,u,
112,e,,x,f,w,t,f,w,w,,,b,s,w,p,w,t,p,u,d,
113,e,,x,s,y,t,f,c,n,,,c,s,w,p,w,t,p,k,m,
114,p,,x,y,w,t,f,c,n,,,e,s,w,p,w,t,p,n,u,
115,e,,x,y,y,t,f,c,p,,,r,s,w,p,w,t,p,n,g,
116,e,,s,f,g,f,f,c,p,,,e,s,w,p,w,t,p,n,u,
117,e,,x,y,y,t,f,c,w,,,r,s,w,p,w,t,p,k,g,
118,e,,x,s,y,t,f,w,p,,,b,s,w,p,w,t,p,u,d,
119,e,,s,f,n,f,f,c,k,,,e,s,w,p,w,t,p,n,u,
120,p,,x,s,w,t,f,c,k,,,e,s,w,p,w,t,p,k,g,
121,e,,x,y,w,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
122,p,,f,y,n,t,f,c,p,,,e,s,w,p,w,t,p,k,g,
123,e,,f,s,g,f,f,w,k,,,e,s,w,p,w,t,e,n,g,
124,e,,x,s,y,t,f,c,g,,,c,s,w,p,w,t,p,n,m,
125,e,,x,s,w,f,f,w,n,,,e,s,w,p,w,t,e,k,g,
126,e,,b,s,y,t,f,c,w,,,c,s,w,p,w,t,p,n,g,
127,e,,f,f,g,f,f,w,h,,,e,s,w,p,w,t,e,n,g,
